"I have packing slips","I have packing slips"
"Envelopes (≤ 0,5kg)","Envelopes (≤ 0,5kg)"
"Parcels (≤ 31,5kg)","Parcels (≤ 31,5kg)"
"Pallets","Pallets"
"Pickup date","Pickup date"
"Pickup time","Pickup time"
" - select pickup date - "," - select pickup date - "
"Select pickup date first","Select pickup date first"
"Courier cannot be called for orders %s","Courier cannot be called for orders %s"
"Cannot call courier.","Cannot call courier."
"Country","Country"
"Base shipping price","Base shipping price"
"Price per additional 10kg over base 10kg","Price per additional 10kg over base 10kg"
"Free shipping from price","Free shipping from price"
"Add shipping country","Add shipping country"
"Comment to courier","Comment to courier"
"Courier comes to pick up your shipment on %1$s between %2$s","Courier comes to pick up your shipment on %1$s between %2$s"
"and","and"
"DPD - Dpd.lt - Siuntų taškas","DPD - Dpd.lt - Siuntų taškas"
"Price per country","Price per country"
"If country is not listed here, but this method is available, then general handling fee is applied","If country is not listed here, but this method is available, then general handling fee is applied"
"Disable this carrier if product's short description contains HTML comment &lt;!-- no dpd_ee_module --&gt;","Disable this carrier if product's short description contains HTML comment &lt;!-- no dpd_ee_module --&gt;"
"Auto send data to DPD server","Auto send data to DPD server"
"Allow courier pickup","Allow courier pickup"
"DPD Self service username","DPD Self service username"
"DPD Self-service password","DPD Self-service password"
"When to send parcel data","When to send parcel data"
"Pickup address name","Pickup address name"
"Pickup address company","Pickup address company"
"Pickup address e-mail","Pickup address e-mail"
"Pickup address phone","Pickup address phone"
"Pickup address street","Pickup address street"
"Pickup address city, county","Pickup address city, county"
"Pickup address zip code","Pickup address zip code"
"Pickup address country","Pickup address country"
"Show pickup address on packing label","Show pickup address on packing label"
"Save address for current customer","Save address for current customer"
"Labels position on packing slip","Labels position on packing slip"
"Api URL","Api URL"
"DPD - Dpd.lt - Courier service","DPD - Dpd.lt - Courier service"
"Position: %s","Position: %s"
"Order courier to pick up goods","Order courier to pick up goods"
"Tomorrow","Tomorrow"
"Today","Today"
"Http request timeout","Http request timeout"
"If timeout is greater than 10 seconds, then parcel data can only be sent manually. This field with the limitation will be removed latest 17th of February","If timeout is greater than 10 seconds, then parcel data can only be sent manually. This field with the limitation will be removed latest 17th of February"

